keyword,search_volume,keyword_difficulty,cpc,intent,funnel_stage,serp_features,content_format_needed,mapped_feature_ids,mapped_blog_slugs,cluster_id,content_type,priority,status,last_updated,source,notes
mi gato no come,390,0,0,informational,awareness,featured_snippet,guide,,,tc_salud_comportamiento_gatos,cluster,medium,planned,2026-04-07,keywordsurfer_es,"'mi gato no quiere comer y está decaído' = 390, 'gato no come' = 260. NO ARTICLE EXISTS."
cada cuánto bañar un perro,0,0,0,informational,awareness,people_also_ask,tutorial,,,tc_higiene_perros,cluster,medium,planned,2026-04-08,keywordsurfer_es,"Exact 0 vol. Variants: 'cada cuanto bañar al perro' = 480, 'cada cuanto se baña un perro' = 390, 'cuando se baña a un perro' = 320, 'cuando bañar cachorro' = 170. NO ARTICLE EXISTS."
porque los perros comen hierba,1000,0,0,informational,awareness,featured_snippet,guide,,por-que-perros-comen-hierba,tc_salud_comportamiento_perros,cluster,high,active,2026-04-07,keywordsurfer_es,"'porque los perros comen hierba' = 1000, 'mi perro se come la caca' = 390. Article exists."
mi gato maúlla mucho,590,0,0,informational,awareness,people_also_ask,guide,,gato-maulla-mucho-noche-causas,tc_salud_comportamiento_gatos,cluster,medium,active,2026-04-07,keywordsurfer_es,"'mi gato no para de maullar' = 590, 'por qué mi gato maúlla por la noche' = 320. Article exists."
piensos hipoalergénicos perros,2900,33,0,commercial,decision,product_carousel,listicle,,mejor-pienso-hipoalergenico-perro,tc_alimentacion_perros,cluster,high,active,2026-04-08,keywordsurfer_es,"Real keyword for hypoallergenic dog food. Multiple variants all at 2900. Article exists."
dieta barf perros,3600,0,0,informational,awareness,featured_snippet,guide,,,tc_alimentacion_perros,cluster,high,planned,2026-04-08,keywordsurfer_es,"Massive keyword. 'dieta barf en perros' = 3600, 'comida barf perro' = 1000, 'dietas barf para perros' = 1000. NO ARTICLE EXISTS — big gap."
tabla cantidad comida perro,880,0,0,informational,awareness,featured_snippet,guide,,cuantas-veces-dia-debe-comer-perro,tc_alimentacion_perros,cluster,medium,active,2026-04-08,keywordsurfer_es,"Feeding portion guide. 'tabla cantidad comida casera perro' = 390. Partially covered by existing article."
tabla alimentación gatos,590,0,0,informational,awareness,featured_snippet,guide,,cuanto-debe-comer-gato-adulto,tc_alimentacion_gatos,cluster,medium,active,2026-04-08,keywordsurfer_es,"'tabla de alimentación para gatos' = 590, 'tabla de alimento para gatos' = 590. Partially covered."
comedero automatico perro,720,0,0,commercial,decision,product_carousel,listicle,,mejor-comedero-automatico-perros-app,tc_alimentacion_perros,cluster,medium,active,2026-04-08,keywordsurfer_es,"Real keyword people use (not 'wifi'). Multiple variants at 720. Article exists."
mejores piensos para perros ocu,880,0,0,commercial,decision,featured_snippet,listicle,,,tc_alimentacion_perros,cluster,high,planned,2026-04-08,keywordsurfer_es,"'mejores piensos para perros ocu' = 880, 'mejor pienso para perros ocu' = 880. OCU angle — NO ARTICLE. Could be standalone or section in existing."
limpieza dental perros,880,0,0,informational,consideration,people_also_ask,guide,,como-limpiar-dientes-perro;mejor-cepillo-dientes-perros,tc_higiene_perros,cluster,high,active,2026-04-08,keywordsurfer_es,"Real keyword cluster: 'limpieza dental a perros' = 880, 'pasta de dientes para perros' = 880, 'limpia dientes perros' = 720, 'precio limpieza dental perros' = 590, 'sarro en perros' = 480. Articles exist."
como quitar pulgas perro,590,0,0,informational,awareness,featured_snippet,guide,,como-eliminar-pulgas-perro-casa;mejor-antiparasitario-perros-guia,tc_higiene_perros,cluster,medium,active,2026-04-08,keywordsurfer_es,"Multiple variants at 590: 'como quitar pulgas a perro/perros'. 'remedio casero pulgas perros' = 390. Articles exist."
malta para gatos,1900,0,0,informational,awareness,featured_snippet,guide,,muda-pelo-gatos-guia-cuidados,tc_higiene_gatos,cluster,high,active,2026-04-08,keywordsurfer_es,"HUGE keyword. 'malta para gato' = 1900, 'malta gatos' = 880, 'bola de pelo en gatos' = 720, 'bolas de pelo gato' = 590. Partially covered in shedding guide — could be standalone article."
gatos que no dan alergia,1000,0,0,informational,awareness,featured_snippet,guide,,,tc_salud_comportamiento_gatos,cluster,high,planned,2026-04-08,keywordsurfer_es,"'gatos que no dan alergia' = 1000, 'que gatos no sueltan pelo' = 720, 'gato antialergico' = 390, 'gatos hipoalergenicos' = 260. NO ARTICLE — content gap."
collar antiparasitario perros,3600,0,0,commercial,decision,product_carousel,listicle,,mejor-collar-antiparasitario-perro,tc_higiene_perros,cluster,high,active,2026-04-08,keywordsurfer_es,"MASSIVE cluster. 'seresto' = 9900, 'seresto collares' = 8100, 'seresto collar' = 5400, 'scalibor collar' = 2900, 'collar antiparasitario' = 1900, 'collares antiparasitarios para perro' = 880. Article exists."
cada cuanto bañar al perro,480,0,0,informational,awareness,people_also_ask,tutorial,,,tc_higiene_perros,cluster,medium,planned,2026-04-08,keywordsurfer_es,"Real variant with volume. 'cada cuanto se baña un perro' = 390, 'cuando se baña a un perro' = 320, 'cuando bañar cachorro' = 170. NO ARTICLE EXISTS."
transportín perro,6600,0,0,commercial,decision,product_carousel,listicle,,mejor-transportin-perros-guia,tc_paseo_perros,cluster,high,active,2026-04-08,keywordsurfer_es,"MASSIVE keyword. 'transportín perros' = 6600, 'transportín perro grande' = 2400, 'transportín para perros' = 1600, 'transportin perro mediano' = 1300, 'transportin coche perro' = 880, 'transportin perros pequeños' = 880, 'transportín perro decathlon' = 590. Article exists."
gps para perros,5400,0,0,commercial,decision,product_carousel,listicle,,mejor-gps-perro;collar-gps-gato,tc_paseo_perros,cluster,high,active,2026-04-08,keywordsurfer_es,"'tractive' = 14800 (brand), 'gps para perro' = 4400, 'gps perros' = 2400, 'tractive gps perros' = 1000, 'gps para perros decathlon' = 480, 'gps perro sin suscripcion' = 390. Articles exist."
cómo llevar al perro en el coche,1300,0,0,informational,awareness,featured_snippet,guide,,asiento-coche-perro;mejor-protector-maletero-perros;mejor-transportin-perros-guia,tc_paseo_perros,cluster,high,planned,2026-04-08,keywordsurfer_es,"Real keyword for car travel. 'perros en coche' = 880, 'como llevar un perro en el coche' = 390, 'transporte perros coche dgt' = 260, 'normativa perros coche' = 170. NO UNIFIED GUIDE — content gap."
estrés en gatos,590,0,0,informational,awareness,featured_snippet,guide,,senales-estres-gatos;gato-maulla-mucho-noche-causas,tc_salud_comportamiento_gatos,cluster,medium,active,2026-04-08,keywordsurfer_es,"Multiple variants all at 590: 'estres gato', 'gato estrés', 'estrés gatos'. 'gato estresado' = 480, 'como relajar gato estresado' = 140. Articles exist."
jugar con gatitos,4400,0,0,informational,awareness,video_carousel,guide,,enriquecimiento-ambiental-gato-interior,tc_juguetes_enriquecimiento,cluster,high,active,2026-04-08,keywordsurfer_es,"HUGE keyword. 'jugar con el gato' = 4400, 'gatos jugar' = 2400, 'como jugar gato' = 260. Article exists but targets 'enriquecimiento ambiental' — consider retargeting or new article."
como educar un gato,1000,0,0,informational,awareness,video_carousel,guide,,como-adiestrar-gato-tecnicas,tc_salud_comportamiento_gatos,cluster,high,active,2026-04-08,keywordsurfer_es,"'gatitos como educarlos' = 1000, 'como educar gato' = 880, 'como educar a un gato' = 720, 'como enseñar gato usar arenero' = 320, 'cómo adiestrar un gato' = 170. Article exists."
perros no sueltan pelo,2400,0,0,informational,awareness,featured_snippet,listicle,,razas-perro-piso-pequeno,tc_salud_comportamiento_perros,cluster,high,active,2026-04-08,keywordsurfer_es,"'perros tranquilos' = 720, 'qué perros no sueltan pelo' = 720, 'perros para pisos' = 590, 'mejor perro para piso' = 390, 'perros tranquilos para pisos' = 320. Article exists."
parque para perros,9900,0,0,informational,awareness,product_carousel,guide,,,tc_hogar_mascotas,cluster,high,planned,2026-04-08,keywordsurfer_es,"MASSIVE keyword. 'parque para perros' = 9900, 'parque perros' = 2900, 'parques para perros en casa' = 480, 'parque para cachorros' = 260. NO ARTICLE — but mainly product intent (dog pens/playpens). Consider comparativa."
juguetes para perros,2400,0,0,commercial,decision,product_carousel,listicle,,mejor-juguete-mental-perros-guia;alfombras-olfato-perros;guia-completa-juguetes-enriquecimiento-mascotas,tc_juguetes_enriquecimiento,pillar,high,active,2026-04-09,keywordsurfer_es,"NOW PILLAR TARGET. 'juguetes perros' = 1600, 'juguete perro interactivo' = 880, 'mordedor perro' = 720, 'juguetes de perro' = 720, 'juegos inteligencia perros' = 260. Pillar retargeted from 'juguetes enriquecimiento mascotas' (0 vol)."
juegos con perros,1000,0,0,informational,awareness,,guide,,juegos-con-perros-estimulacion,tc_juguetes_enriquecimiento,cluster,medium,planned,2026-04-09,keywordsurfer_es,"New cluster article from KW audit. 'juegos inteligencia perros' = 260, 'juegos olfativos para perros' = 140, 'juegos mentales para perros' = 140."
mejor collar antiparasitario perros,590,0,0,commercial,decision,product_carousel,listicle,,mejor-collar-antiparasitario-perros,tc_higiene_perros,cluster,high,planned,2026-04-09,keywordsurfer_es,"PIVOTED from 'collar antipulgas natural perro' (0 vol). Parent: 'collar antiparasitario perros' = 3600. Related: 'seresto' = 9900, 'collares antiparasitarios para perro' = 880, 'mejor collar antiparasitario perro' = 590."
plantas tóxicas para gatos,1600,0,0,informational,awareness,featured_snippet,guide,,plantas-toxicas-gatos-guia-hogar,tc_hogar_mascotas,cluster,high,published,2026-04-24,keywordsurfer_es,"Published 2026-04-24. Slug: plantas-toxicas-gatos-guia-hogar. SERP analyzed: informacional pura (Kiwoko, Purina, Hill's). Unique angle: por habitación + protocolo emergencia + plantas virales (sansevieria, eucalipto, orquidea, potus). Covers 'no tóxicas' (1000) + 'venenosas' (720) + 'seguras' (480) + 'aptas' (480)."
transportín gato,5400,0,0,commercial,decision,product_carousel,listicle,,mejor-transportin-gatos-guia,tc_paseo_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"'transportin gato' = 5400, 'transportín gatos' = 5400, 'transportin para gato' = 1000, 'mochila transportin gato' = 590, 'transportín gato grande' = 390. Article exists."
correas perro,3600,0,0,commercial,decision,product_carousel,listicle,,mejor-correa-perro,tc_paseo_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"'correas perro' = 3600, 'correa perro' = 3600, 'correas para perros' = 2400, 'correa de perros' = 1600, 'correa extensible perro' = 1000, 'correa adiestramiento perros' = 590. Article exists."
bozal perro,2900,0,0,commercial,decision,product_carousel,listicle,,mejor-bozal-perro,tc_paseo_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"'bozal perro' = 2900, 'bozal perros' = 2900, 'bozal' = 2900, 'bozal baskerville' = 1300, 'bozal para perros' = 1300, 'bozal perros pequeños' = 480. Article exists."
arnés para gatos,1900,0,0,commercial,decision,product_carousel,listicle,,mejor-arnes-gato-pasear,tc_paseo_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"'arnés para gatos' = 1900, 'arneses para gatos' = 1900, 'arnés gatos' = 1600, 'arnes para gato' = 1600, 'arnés gato' = 1300, 'arnes gato antiescape' = 260. Article exists."
areneros para gatos grandes,1300,0,0,commercial,decision,product_carousel,listicle,,mejor-arenero-arena-gatos,tc_higiene_gatos,cluster,high,active,2026-04-09,keywordsurfer_es,"'areneros para gatos grandes' = 1300, 'arenero gatos autolimpiable' = 1000, 'arenero gato automatico' = 1000, 'arenero para gatos xxl' = 590, 'arenero automático' = 390. Article exists (general guide)."
champú perros,1300,0,0,commercial,decision,product_carousel,listicle,,champu-perros-piel-sensible,tc_higiene_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"'champú perros' = 1300, 'champú para perros' = 880, 'champú perros dermatitis' = 390, 'shampoo para perros' = 260, 'champu perros piel sensible' = 140. Article targets sensitive skin but parent keyword much bigger."
aspirador pelo perro,720,0,0,commercial,decision,,listicle,,mejor-aspirador-pelo-mascotas,tc_higiene_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'aspirador pelo perro' = 720, 'robot aspirador mascotas' = 590, 'aspirador especial mascotas' = 590, 'aspiradora mascotas' = 480. Article exists."
peine para perro,590,0,0,commercial,decision,,listicle,,mejor-cepillo-perro,tc_higiene_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'peine para perro' = 590, 'peine para perros' = 590, 'deslanador perro' = 480, 'cepillo perro pelo largo' = 320, 'peine perro' = 320. Article exists."
corta pelo perros,480,0,0,commercial,decision,,listicle,,mejor-cortapelos-perros,tc_higiene_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'corta pelo perros' = 480, 'cortador pelo perro' = 480, 'cortapelo perro' = 320, 'máquina cortar pelo perros' = 210. Article exists."
cama perro,8100,0,0,commercial,decision,product_carousel,listicle,,mejor-cama-perro-guia,tc_hogar_mascotas,cluster,high,active,2026-04-09,keywordsurfer_es,"MASSIVE. 'cama para perros' = 9900, 'camas para perros' = 8100, 'cama perro grande' = 3600, 'cama de perro' = 2400, 'cama perro mediano' = 1300, 'cama perro pequeño' = 1000. Article exists."
collares antiladridos,4400,0,0,commercial,decision,product_carousel,listicle,,collar-antiladridos-perros,tc_paseo_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"'collares antiladridos' = 4400, 'collar antiladridos' = 3600, 'collares antiladrido' = 3600, 'collares antiladridos perros' = 720, 'collar antiladridos para perros' = 590. Article exists."
fuente para gatos,2900,0,0,commercial,decision,product_carousel,listicle,,mejor-fuente-agua-gatos-silenciosa;comparativa-fuentes-agua-gatos,tc_alimentacion_gatos,cluster,high,active,2026-04-09,keywordsurfer_es,"'fuente para gatos' = 2900, 'fuentes para gatos' = 2900, 'fuente de agua para gatos' = 1900, 'fuente gato' = 1600, 'bebedero gatos' = 1300, 'bebedero para gatos' = 880. TWO articles exist."
comedero para perro,2900,0,0,commercial,decision,product_carousel,listicle,,mejor-comedero-perros-guia,tc_alimentacion_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"'comedero para perro' = 2900, 'comederos perros' = 1900, 'comedero perro' = 1600, 'comedero elevado perros' = 1000, 'comedero perros elevado' = 720, 'comedero antivoracidad' = 590. Article exists."
limpiador enzimático,2400,0,0,commercial,decision,,listicle,,mejor-limpiador-enzimatico-mascotas,tc_higiene_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"Generic keyword but article targets pet use. 'limpiador enzimático' = 2400, 'limpiador enzimatico' = 1900, 'limpiador enzimático mercadona' = 1600, 'limpiador enzimático perro' = 320. Article exists."
comederos para gatos,1300,0,0,commercial,decision,product_carousel,listicle,,mejor-comedero-gatos-guia,tc_alimentacion_gatos,cluster,high,active,2026-04-09,keywordsurfer_es,"'comederos para gatos' = 1300, 'comedero para gatos' = 1300, 'comedero automatico gato' = 880, 'comedero gatos elevado' = 590. Article exists (general guide, separate from automatic)."
cortauñas perro,880,0,0,commercial,decision,,listicle,,mejor-cortaunas-perros,tc_higiene_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'cortauñas perro' = 880, 'cortauñas perros' = 880, 'corta uñas para perro' = 480, 'cortauñas para perro' = 260. Article exists."
manta para perros,880,0,0,commercial,decision,,listicle,,mejor-manta-perros,tc_hogar_mascotas,cluster,medium,active,2026-04-09,keywordsurfer_es,"'mantitas para perro' = 880, 'manta para perro' = 880, 'manta para perros' = 880, 'mantas para perros' = 720, 'mantas perro' = 590. Article exists."
collar antiladridos perro,590,0,0,commercial,decision,,listicle,,collar-antiladridos-perros,tc_paseo_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"Exact searched keyword = 590. Parent: 'collares antiladridos' = 4400. Article exists."
snacks perros,390,0,0,commercial,decision,,listicle,,mejores-snacks-naturales-perros,tc_alimentacion_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'snacks perros' = 390, 'snack naturales para perros' = 590, 'snack para perros' = 480, 'chuches perro mercadona' = 320. Article exists."
chubasquero perro,2900,0,0,commercial,decision,product_carousel,listicle,,mejor-chubasquero-perro,tc_paseo_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"'chubasquero perro' = 2900, 'chubasqueros perros' = 2900, 'chubasquero para perros' = 880, 'abrigo perros' = 1000, 'impermeable perros' = 390. Article exists."
correa extensible perro,1000,0,0,commercial,decision,,listicle,,correa-extensible-perros,tc_paseo_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'correa extensible perro' = 1000, 'correa perro extensible' = 1000, 'correas extensibles perros grandes' = 260, 'correa para perro extensible' = 210. Article exists."
abrigo perro,1000,0,0,commercial,decision,,listicle,,mejor-abrigo-perro-invierno,tc_paseo_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'abrigo perro' = 1000, 'abrigos perros' = 1000, 'abrigos para perros' = 720, 'abrigo para perros' = 720, 'abrigos perro pequeño' = 320. Article exists."
bolsas caca perro,590,0,0,commercial,decision,,listicle,,mejores-bolsas-caca-perro-biodegradables,tc_higiene_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'bolsas caca perro' = 590, 'bolsas perro' = 880, 'bolsa caca perro' = 590, 'bolsa biodegradable perro' = 210, 'porta bolsas perro' = 210. TWO articles: bolsas + dispensador."
chaleco salvavidas perro,720,0,0,commercial,decision,,listicle,,mejor-chaleco-salvavidas-perro,tc_paseo_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'chaleco salvavidas perro' = 720, 'chaleco salvavida perro' = 1000, 'chaleco salvavidas perros' = 720, 'flotadores para perros' = 480. Article exists."
cepillo gatos,590,0,0,commercial,decision,,listicle,,mejor-cepillo-gatos,tc_higiene_gatos,cluster,medium,active,2026-04-09,keywordsurfer_es,"'cepillo gatos' = 590, 'cepillos para gato' = 1300, 'cepillos para gatos' = 880, 'furminator gato' = 590, 'peine para gatos' = 390. Article exists."
toallitas perros,390,0,0,commercial,decision,,listicle,,mejor-toallitas-perros,tc_higiene_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'toallitas perros' = 390, 'toallitas para perros' = 720, 'toallitas para perro' = 720, 'toallitas perro mercadona' = 260. Article exists."
collar luminoso perro,390,0,0,commercial,decision,,listicle,,mejor-collar-luminoso-perro,tc_paseo_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'collar luminoso perro' = 390, 'collar luz perro' = 320, 'collares perros luminosos' = 320, 'collar perros led' = 260. Article exists."
secador perros,210,0,0,commercial,decision,,listicle,,mejor-secador-perros,tc_higiene_perros,cluster,low,active,2026-04-09,keywordsurfer_es,"'secador perros' = 210, 'secador para perros' = 390, 'secador para perro' = 170, 'secadora para perros' = 170. Low volume niche. Article exists."
comedero antihormigas,210,0,0,commercial,decision,,listicle,,mejor-comedero-antihormigas-mascotas,tc_alimentacion_perros,cluster,low,active,2026-04-09,keywordsurfer_es,"'comedero antihormigas' = 210, 'comederos antihormigas' = 210, 'comedero anti hormigas' = 210. Very niche. Article exists."
piscina para perro,5400,0,0,commercial,decision,product_carousel,listicle,,mejor-piscina-perros,tc_hogar_mascotas,cluster,high,active,2026-04-09,keywordsurfer_es,"'piscinas para perro' = 6600, 'piscina para perro' = 5400, 'piscina para perros' = 5400, 'piscinas perro' = 2900, 'piscina de perro' = 590. Article exists. SEASONAL summer."
rampa para perros,2900,0,0,commercial,decision,product_carousel,listicle,,mejor-escalera-rampa-perros,tc_hogar_mascotas,cluster,high,active,2026-04-09,keywordsurfer_es,"'rampa para perros' = 2900, 'rampas para perro' = 2900, 'escalera perros' = 1300, 'rampas perros' = 880, 'escaleras para perros ikea' = 590, 'escalera perro cama' = 390. Article exists (covers escalera + rampa)."
bebederos para perros,2400,0,0,commercial,decision,product_carousel,listicle,,mejor-bebedero-perros-guia,tc_alimentacion_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"'bebederos para perros' = 2400, 'bebedero para perros' = 1900, 'bebedero para perros automático' = 720, 'bebedero antigoteo perro' = 720, 'bebedero perros antigoteo' = 590. Article exists."
porque amasan los gatos,1900,0,0,informational,awareness,,guide,,por-que-gatos-amasan,tc_salud_comportamiento_gatos,cluster,high,active,2026-04-09,keywordsurfer_es,"'porque amasan los gatos' = 1900, 'porque los gatos amasan' = 1900, 'gatos ronronean' = 1600, 'ronroneo gato' = 1600, 'por qué los gatos amasan' = 720. Article exists."
protector almohadillas perro,590,0,0,commercial,decision,,listicle,,mejor-protector-patas-perro,tc_higiene_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'protector almohadillas perro' = 590, 'almohadillas perros' = 590, 'crema almohadillas perro' = 390, 'heridas almohadilla perro' = 390. Article exists."
dispensador bolsas perro,170,0,0,commercial,decision,,listicle,,mejor-dispensador-bolsas-caca-perro,tc_higiene_perros,cluster,low,active,2026-04-09,keywordsurfer_es,"'dispensador bolsas perro' = 170, 'porta bolsas perro' = 210, 'dispensador bolsas perros' = 170. Low volume niche. Article exists."
jaula para perros,4400,0,0,commercial,decision,product_carousel,listicle,,jaula-perro-casa-coche,tc_hogar_mascotas,cluster,high,active,2026-04-09,keywordsurfer_es,"'jaula para perros' = 4400, 'jaulas para perros' = 4400, 'jaula perro' = 1900, 'jaula perro grande' = 1300, 'jaula para perro grande' = 1000, 'jaulas para perros dentro de casa' = 390. Article exists."
comida húmeda para perros,1900,0,0,commercial,decision,product_carousel,listicle,,mejor-comida-humeda-perros,tc_alimentacion_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"'comida húmeda para perros' = 1900, 'comida humeda perros' = 590, 'pienso humedo para perros' = 590, 'mejor comida húmeda para perros' = 390, 'comida lata perros' = 320, 'paté para perros' = 260. Article exists."
pienso urinary gato,880,0,0,commercial,decision,,listicle,,pienso-gato-problemas-urinarios,tc_alimentacion_gatos,cluster,medium,active,2026-04-09,keywordsurfer_es,"0 vol exact for 'pienso gato urinario'. KW ideas: 'pienso urinary gato' = 880, 'pienso gatos urinary' = 880, 'pienso gato urinary' = 720, 'pienso urinario gato' = 170. Article exists."
manta refrescante para perros,880,0,0,commercial,decision,,listicle,,alfombrilla-refrigerante-perros,tc_hogar_mascotas,cluster,medium,active,2026-04-09,keywordsurfer_es,"0 vol exact for 'alfombrilla refrigerante perros'. KW ideas: 'manta refrescante para perros' = 880, 'manta fria para perros' = 590, 'manta frio perro' = 390, 'manta refrescante perros' = 260. Article exists. SEASONAL summer."
comida húmeda perros,590,0,0,commercial,decision,,listicle,,mejor-comida-humeda-perros,tc_alimentacion_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"Secondary to 'comida húmeda para perros' (1900). Exact = 590. Article exists."
snacks gatos,170,0,0,commercial,decision,,listicle,,snacks-naturales-gatos,tc_alimentacion_gatos,cluster,low,active,2026-04-09,keywordsurfer_es,"'snacks gatos' = 170, 'churu gatos' = 2900 (brand), 'churu para gatos' = 590, 'chuches gatos' = 320, 'snacks para gato' = 210. Low vol but brand 'churu' dominates."
pienso cachorro gato,140,0,0,commercial,decision,,listicle,,mejor-pienso-cachorro-gato,tc_alimentacion_gatos,cluster,low,active,2026-04-09,keywordsurfer_es,"'pienso cachorro gato' = 140, 'pienso gatitos' = 3600 (parent), 'mejor pienso para gatos' = 1000, 'comida gatos bebes' = 260. Parent keyword much bigger."
muda pelo perro,110,0,0,informational,awareness,,guide,,muda-pelo-perros-guia-cuidados,tc_higiene_perros,cluster,low,active,2026-04-09,keywordsurfer_es,"'muda pelo perro' = 110, 'perros con mucho pelo' = 1300 (off-intent), 'cuando mudan el pelo los perros' = 170, 'muda de pelo perros' = 90. Low vol niche. Article exists."
pienso gato pelo largo,0,0,0,commercial,decision,,listicle,,mejor-pienso-gato-pelo-largo,tc_alimentacion_gatos,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas: 'pienso gatos' = 2900, 'piensos para gato' = 1600, 'mejor pienso para gatos' = 1000, 'piensos de gato' = 720. No pelo-largo specific keyword exists."
pienso perro diabético,0,0,0,commercial,decision,,listicle,,mejor-pienso-perro-diabetico,tc_alimentacion_perros,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas: 'royal canin diabetic' = 260, 'pienso para perros diabeticos' = 260. Very niche medical keyword."
edad gato,0,0,0,informational,awareness,,guide,,como-saber-edad-gato,tc_salud_comportamiento_gatos,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. NO keyword ideas — dead keyword."
gps para perros,5400,0,0,commercial,decision,product_carousel,listicle,,mejor-gps-perro,tc_paseo_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"'gps para perros' = 5400, 'gps para perro' = 4400, 'gps tractive' = 4400, 'gps perros' = 2400, 'collar para perro con gps' = 1000, 'gps perro sin suscripción' = 390. Article exists. Brand: Tractive = 14800."
comida húmeda para gatos,2400,0,0,commercial,decision,product_carousel,listicle,,mejor-comida-humeda-gatos,tc_alimentacion_gatos,cluster,high,active,2026-04-09,keywordsurfer_es,"'comida húmeda para gatos' = 2400, 'comida humeda para gatos' = 2400, 'comida humeda gato' = 1000, 'mejor comida húmeda para gatos' = 880. Article exists."
cortar uñas gato,1600,0,0,informational,awareness,,tutorial,,como-cortar-unas-gato,tc_higiene_gatos,cluster,high,active,2026-04-09,keywordsurfer_es,"'cortar uñas gato' = 1600, 'cortar las uñas al gato' = 1600, 'cortar uñas a gato' = 1600, 'cortador uñas gato' = 3600 (product), 'cortauñas gato' = 590. Article exists."
gps para gato,1300,0,0,commercial,decision,,listicle,,collar-gps-gato,tc_paseo_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"'gps para gato' = 1300, 'gps para gatos' = 1300, 'gps gatos' = 880, 'collares para gatos con gps' = 480, 'collar gps gato' = 480, 'localizador gato' = 390. Article exists. Brand: AirTag = 40500."
limpiar dientes perro,720,0,0,informational,awareness,,tutorial,,como-limpiar-dientes-perro,tc_higiene_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'limpiar dientes perro' = 720, 'limpiar dientes a perros' = 720, 'pasta dientes perro' = 480, 'sarro en perro' = 480, 'cómo lavar los dientes a un perro' = 320. Article exists."
pienso para perro esterilizado,590,0,0,commercial,decision,,listicle,,mejor-pienso-perro-esterilizado,tc_alimentacion_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"'pienso para perro esterilizado' = 590, 'pienso para perros esterilizados' = 480, 'pienso perro esterilizado' = 390, 'pienso perros esterilizados' = 390. Article exists."
limpiar orejas perro,590,0,0,informational,awareness,,tutorial,,como-limpiar-oidos-perro,tc_higiene_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"Better than 'limpiar oídos perro' (390). 'limpiar orejas perro' = 590, 'limpiar oído perro' = 480, 'limpieza oidos perros' = 480, 'remedios caseros otitis perros' = 480. Article exists."
perro sobrepeso,140,0,0,informational,awareness,,guide,,perro-sobrepeso-dieta-ejercicio,tc_salud_comportamiento_perros,cluster,low,active,2026-04-09,keywordsurfer_es,"'perro sobrepeso' = 140, 'perro gordito' = 1900 (entertainment intent), 'perro con obesidad' = 480, 'sobrepeso en perros' = 140. Low vol for health intent. Article exists."
snacks naturales gatos,0,0,0,commercial,decision,,listicle,,snacks-naturales-gatos,tc_alimentacion_gatos,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas brand-dominated: 'churu' = 2900, 'churu gatos' = 2900, 'churu para gatos' = 590, 'snacks para gato' = 210. Article exists."
residencias mascotas,0,0,0,informational,awareness,,guide,,residencias-mascotas-verano,tc_hogar_mascotas,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas ALL local intent: 'guarderia canina cerca de mi' = 2900, 'guardería canina barcelona' = 590. Not viable for national blog. Article exists."
arenero autolimpiable,3600,0,0,commercial,decision,product_carousel,listicle,,mejor-arenero-autolimpiable-gatos,tc_higiene_gatos,cluster,high,active,2026-04-22,keywordsurfer_es,"Core comparativa KW. Variantes: 'arenero automatico' 6600, 'arenero cecotec' 4400, 'arenero gato autolimpiable' 1000, 'arenero autolimpiable xiaomi' 590, 'arenero autolimpiable barato' 480. SERP blended (Amazon + MediaMarkt + blogs). Published 2026-04-22."
